utm_source,n,k,cr,ci_low,ci_high,rank_by_volume,rank_by_cr
oZCzWSykfixnjMPDNjSU,3143,260,0.08272351256761057,0.0735948317197197,0.09287099865445611,23,1
BKeImrJuRDZcHiSSTdzm,1464,98,0.06693989071038252,0.05523776291099142,0.0809088076726465,31,2
aXQzDWsJuGXeBXexNHjc,31152,1827,0.058647919876733436,0.0560926846079909,0.061311994969016584,8,3
bByPQxmDaMXgpHeypKSM,102287,5557,0.05432752940256338,0.052955115553087205,0.05573341829899912,6,4
DnEUulZAecfGPvdtZBYS,1420,76,0.05352112676056338,0.04297307628744023,0.06647842449747852,32,5
qVXuCoVQtPxcUkAXiXBa,798,38,0.047619047619047616,0.034887566765508714,0.06468521668698365,44,6
klTrhUaShgnjIbaPmqjc,1197,42,0.03508771929824561,0.026062058706797536,0.04708797207161654,35,7
fDLlAcSmythWSCVMvqvL,300575,10531,0.03503618065374699,0.03438475528247344,0.03569949112643946,2,8
WEXkMlsnJodrzBgKJBpG,1003,35,0.03489531405782652,0.025196206232722236,0.04814363193050026,41,9
FTAuYVNoYYxgvKMpKSLW,627,21,0.03349282296650718,0.022008928439495222,0.050658441626144086,47,10
BHcvLfOaCWvWTykYqHVe,116320,3882,0.033373452544704266,0.032356576926374836,0.03442114888765985,5,11
NwLFDlNWnYxuLZEAZppl,613,20,0.03262642740619902,0.02121809857736924,0.049856225852111524,48,12
KgicpPxiEQfzPlPwQZJq,1761,55,0.031232254400908575,0.02407325377142494,0.040432025342576006,29,13
GmILPdZyuAVJCPsUBHeN,648,20,0.030864197530864196,0.02006706023693995,0.04719099754887794,45,14
gVRrcxiDQubJiljoTbGm,2767,80,0.028912179255511383,0.023292149493882836,0.03583847709985676,24,15
ZpYIoDJMcFzVoPFsHGJL,578290,15998,0.027664320669560254,0.027244729560541688,0.02809018722062986,1,16
QxAxdyPLuQMEcrdZWdWb,51415,1404,0.027307206068268017,0.025933369851686386,0.028751673850270526,7,17
iNFgfQPqHPBuvGCYtrQE,3532,92,0.026047565118912798,0.021287275446420624,0.03183772879585087,22,18
nrKihqcWGIzDsOqljdAv,1670,43,0.025748502994011976,0.019171572837005303,0.03450232318756477,30,19
HFaOtpcChAlcMuxEAlpu,1136,29,0.025528169014084508,0.017832216021316263,0.0364223400503344,37,20
